case_number,case_summary,lang_info,case_created_date,case_typ,case_injury_typ,case_txt,country_nme,case_supervisor_nme,case_root_cause_txt,case_immediate_cause_desc,case_unsafe_act_desc,mgmt_sys_failure_desc,case_corrective_txt,case_status,case_cmts,case_clousre_inv_complete_date,case_root_cause_desc,case_reported_date,case_report_year,case_level_severity,primary_business,primary_business_segment,site_location_nme,region,case_followup_flag,month,month_year,quarter
10231,"The IP was preparing the container. When he charged cables clips inside the conainer, he hurt his knee on a threaded rode.",en,2019-06-28T00:00:00.000Z,Injury,Other,"The IP was preparing the container. When he charged cables clips inside the conainer, he hurt his knee on a threaded rode.",France,SADET KADIC,"Some screws were exceeded from an equipment, and the storekeeper hurt his knee on it. They should protected screws  with foam.","Housekeeping, unsafe placement, slip/trip hazards",,Risk Assessment,Sensitized all the storekeeper team to the risk of hurt in the container and in the warehouse and the importance to protect all the equipment when it is necessary,0,Action plan done,2.0191018E7,Inadequately maintained tools/equipment,2019-06-28T00:00:00.000Z,2019,Level C,GE Renewable Energy,Hydro,"Hydro - Grenoble, France",EU/SSA,Yes,6,2019-6,Q2-2019
10232,Debagging sırasında ayağı kaydı ve root flange kenarı ile konteynır üzerine sırtını çarptı.,tr,2019-07-04T00:00:00.000Z,Injury,"Contusion, Bruise",Debagging sırasında ayağı kaydı ve root flange kenarı ile konteynır üzerine sırtını çarptı.,Turkey,Seckin Burtan Ucar,"Debagging standardı yok
Deneyim Eksikliği
İş Körlüğü","Housekeeping, unsafe placement, slip/trip hazards",Employee awareness/attentiveness,Risk Assessment,ATS olarak atanmıştır.,0,Teşekkürler,2.0190909E7,Inadequate inspection/auditing,2019-07-04T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Bergama,MENAT,Yes,7,2019-7,Q3-2019
10233,"On July 3rd, process operator from closing department tripped inside the blade and get a cut on his right wrist. The employee fell on sharp edge of the glue flange (cured fiber) causing a laceration of about 4 cm long. Employee received first aid and went to the hospital where he received 8 stitches. Employee came back on light duties and a restriction to not lift load for a week.",en,2019-07-03T00:00:00.000Z,Injury,"Laceration, Cut, Open Wound","On July 3rd, process operator from closing department tripped inside the blade and get a cut on his right wrist. The employee fell on sharp edge of the glue flange (cured fiber) causing a laceration of about 4 cm long. Employee received first aid and went to the hospital where he received 8 stitches. Employee came back on light duties and a restriction to not lift load for a week.",Canada,Jonathan Denis,"Unsafe behaviour
Incorrect use of equipment
Not wearing gloves (PPE)",,Employee awareness/attentiveness,Leadership and Accountability,"Reinforcement on usage of safety equipment (PPE, available stairs) Reinforcement of leaders’ behaviour in their safety role Stand down with employees on EHS behaviours",0,Reinforcement done with employees,2.0190723E7,"Inadequate job planning, instruction, supervision",2019-07-03T00:00:00.000Z,2019,Level C,GE Renewable Energy,LM Wind Power,Gaspé,Canada,Yes,7,2019-7,Q3-2019
10234,knee pain when moving. Sore Knees,en,2019-07-02T00:00:00.000Z,Injury,Other,douleur au genou lors dun mouvement.  Sore Knees,Canada,Maxime Vaillancourt,poor ergonomic conditions and personal condition contributed to bursitis,Ergonomically inadequate workstation or rotation,,Ergonomics,"provide knee pads for workers, conduct job rotation to reduce amount of time in that position",0,provide knee pads to worker and conduct job rotation to reduce exposure time,2.0190823E7,Inadequate engineering,2019-07-02T00:00:00.000Z,2019,Level D,GE Renewable Energy,Hydro,"Hydro - Tracy, Quebec, Canada",Canada,Yes,7,2019-7,Q3-2019
10235,"While proceeding the check of the 0* position of the blade on top left on a ECO100 WTG, the technician tried to take a picture. He slipped and fell approx. 15cm onto the handle of an cabinet.",en,2019-06-18T00:00:00.000Z,Injury,"Abrasion, Scratches (superficial)","While proceeding the check of the 0* position of the blade on top left on a ECO100 WTG, the technician tried to take a picture. He slipped and fell approx. 15cm onto the handle of an cabinet.",Multi-Country,[Not Recorded - Privacy],Conditions within the hub led to the tech slipping while taking a photo. The task of taking a photo required the tech to focus on the device with two hands attached thus losing balance and unable to react.,Congested or tight space,Employee awareness/attentiveness,Unknown,,0,,-1.0,"Inadequate job planning, instruction, supervision",2019-06-18T00:00:00.000Z,2019,Level D,GE Renewable Energy,Digital Services,DS - ONW Europe - OM and Services,Multi-Region,No,6,2019-6,Q2-2019
10236,"EE was up tower reinstalling the slip ring on the Gearbox and the internals on the gear wrench broke causing his hand to slip and smack the brake disc, EE was wearing his gloves",en,2019-06-18T00:00:00.000Z,Injury,Other,"EE was up tower reinstalling the slip ring on the Gearbox and the internals on the gear wrench broke causing his hand to slip and smack the brake disc, EE was wearing his gloves",Multi-Country,Regan B McKinnerney,"1) Wrong tool used for the task (utilized gear wrench w/ adapter) 
2) Work Instructions insufficient",Inadequate/Faulty/No PPE assigned or available,Equipment/tool used improperly,Risk Assessment,1) revise work instructions to include appropriate tool  2) communicate incident to leadership and North America Services/Projects 3) emphasize use of impact gloves  4),0,technician back to work. Injury communicated to service NAM.,2.0190717E7,"Inadequate job planning, instruction, supervision",2019-06-18T00:00:00.000Z,2019,Level C,GE Renewable Energy,Digital Services,DS - ONW NAM - OM and Services,Multi-Region,Yes,6,2019-6,Q2-2019
10237,"After a days work, at home some slight pain and stiffness was noticed behind the knee. The next morning during the safety meeting technician casually mentioned that his leg muscles were sore behind his knee but brushed it off as typical muscle pain. After finishing the work both the pain and stiffness of the knee had increased and site EHS started the initial injury process.     The injury is effecting the employees flexibility of the knee both straightening and bending and it is uncomfortable to rest full weight on it for any long period of time.",en,2019-06-19T00:00:00.000Z,Injury,Muscle or Connective Tissue Tear or Detachment,"After a days work, at home some slight pain and stiffness was noticed behind the knee. The next morning during the safety meeting technician casually mentioned that his leg muscles were sore behind his knee but brushed it off as typical muscle pain. After finishing the work both the pain and stiffness of the knee had increased and site EHS started the initial injury process.     The injury is effecting the employees flexibility of the knee both straightening and bending and it is uncomfortable to rest full weight on it for any long period of time.",Multi-Country,Georges Tapp,Lifting/Maneuvering improperly,Ergonomically inadequate workstation or rotation,Improper lifting,Risk Assessment,Implement material handling solutions at site.,0,Closed,2.0190705E7,"Inadequate job planning, instruction, supervision",2019-06-19T00:00:00.000Z,2019,Level D,GE Renewable Energy,Digital Services,DS - ONW NAM - OM and Services,Multi-Region,Yes,6,2019-6,Q2-2019
10238,"Por volta das 10:00h, o técnico de campo estava realizando uma atividade de substituição dos reparos e pastilhas da pinça do freio do Yaw na WTG MIA-19. O técnico estava tentando retirar a pastilha de freio, puxando em sua direção, mas ela estava emperrando e ao fazer um pouco mais de esforço, ela se soltou do bloco, vindo na direção do seu rosto, atingindo a sua testa. Foi realizado uma limpeza do ferimento ainda na nacele para depois descer a WTG.",pt,2019-07-05T00:00:00.000Z,Injury,"Laceration, Cut, Open Wound","Por volta das 10:00h, o técnico de campo estava realizando uma atividade de substituição dos reparos e pastilhas da pinça do freio do Yaw na WTG MIA-19. O técnico estava tentando retirar a pastilha de freio, puxando em sua direção, mas ela estava emperrando e ao fazer um pouco mais de esforço, ela se soltou do bloco, vindo na direção do seu rosto, atingindo a sua testa. Foi realizado uma limpeza do ferimento ainda na nacele para depois descer a WTG.",Brazil,Diego Prestes Lourenco,There arent job procedure,Ergonomically inadequate workstation or rotation,Improper force / posture / position,Unknown,,0,,-1.0,"Inadequate job planning, instruction, supervision",2019-07-05T00:00:00.000Z,2019,Level D,GE Renewable Energy,Digital Services,DS - ONW LATAM - OM and Services,LATAM,No,7,2019-7,Q3-2019
10239,2019年7月4号上午十点左右，二期42.5模具员工在下模尾边叶尖位置使用磨地机磨地过程中，地面有地脚螺丝残留，且不明显，致使打磨机反弹，将员工弹至踏板下立柱上，当时无明显症状，员工继续工作，下午一点员工感觉左侧肩胛骨疼痛且左臂无力，在班长陪同下，去医院就医检查，未发现任何异常，14：30返回公司继续工作,zh-cn,2019-07-06T00:00:00.000Z,Injury,Concussion,2019年7月4号上午十点左右，二期42.5模具员工在下模尾边叶尖位置使用磨地机磨地过程中，地面有地脚螺丝残留，且不明显，致使打磨机反弹，将员工弹至踏板下立柱上，当时无明显症状，员工继续工作，下午一点员工感觉左侧肩胛骨疼痛且左臂无力，在班长陪同下，去医院就医检查，未发现任何异常，14：30返回公司继续工作,China,Jiyong Huang,"作业前未发现地面是否有突出物Did not confirm whether the protrusions on the ground before the operation
地面拆装模具残留地脚螺栓高出地面，存在安全隐患The residual anchor bolts of disassembly mold leaving on the floor are higher than the ground, posing a safety hazard","Improperly fitting parts, materials, fasteners",Inadequate check for obstacles in vehicle path,Ergonomics,彻底排查拆除模具后遗留的高于地面的地脚螺栓Check the anchor bolts above the ground after removing the mold thoroughly 联系供应商对突出地面的所有螺栓进行处理Contact the supplier to handle all bolts on the protruding floor,0,"action已全部完成，详情见附件. Actions completed, see attachment.",2.0190729E7,Inadequate inspection/auditing,2019-07-06T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Qinhuangdao,Greater China,Yes,7,2019-7,Q3-2019
10240,EE was stapling the foam core on the web and as she was stapling toward her hand placement she stapled her thumb on her left hand.,en,2019-07-02T00:00:00.000Z,Injury,Puncture,EE was stapling the foam core on the web and as she was stapling toward her hand placement she stapled her thumb on her left hand.,US,Jeremy Hendrix,"A right handed web EE was stapling the foam core during web building phase. As this process went on, she unknowingly stapled towards her hand placement and stapled her left thumb.",,Improper force / posture / position,Preventive Maintenance,Safe hand placement during foam core stapling stages in the web building process was communicated to the team to prevent recurrence of the incident.,0,Hand placement is important during job processes.,2.0190713E7,Inadequate procedures/work instructions/work standards,2019-07-02T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Little Rock,US,Yes,7,2019-7,Q3-2019
10241,Victim was performing debagging activity at 67.2 M2 SBM DW. He was walking backward at that time debagging material already available on shell which caused unbalance of body and he fall on shell. he used his left hand to save himself while falling so whole body weight came on left hand wrist.,en,2019-07-09T00:00:00.000Z,Injury,Sprain,Victim was performing debagging activity at 67.2 M2 SBM DW. He was walking backward at that time debagging material already available on shell which caused unbalance of body and he fall on shell. he used his left hand to save himself while falling so whole body weight came on left hand wrist.,India,Hitesh Rameshbhai Desai,"- Not observed workplace properly
-Not maintained 5S","Housekeeping, unsafe placement, slip/trip hazards",Used area not intended for walking/working,Housekeeping & Inspection Programs,- Awarness given -Trolley made for De bagging of waste,0,Closed,2.0190725E7,"Inadequate job planning, instruction, supervision",2019-07-09T00:00:00.000Z,2019,Level C,GE Renewable Energy,LM Wind Power,Vadodara,ASEAN/India/JP/KR,Yes,7,2019-7,Q3-2019
10242,"To go out of the mold (on tip side), IP took support with his right hand on the side of the mold. After a few minutes, he started to feel pain on right wrist. He noticed an hematoma on his right wrist which was swollen. After medical consultation, a tendinitis was diagnosed.",en,2019-07-09T00:00:00.000Z,Injury,Muscle or Connective Tissue Tear or Detachment,"To go out of the mold (on tip side), IP took support with his right hand on the side of the mold. After a few minutes, he started to feel pain on right wrist. He noticed an hematoma on his right wrist which was swollen. After medical consultation, a tendinitis was diagnosed.",France,Anderson PINHO DA SILVA,"Common access to the mold was obstructed because a platform has been installed on root for repairs, requiring EEs to go out of the mold by the side.",Ergonomically inadequate workstation or rotation,,Ergonomics,"Side access to be improved (stairs, platform)",0,Investigation closed,2.019071E7,Inadequate Control System Setup or Failure,2019-07-09T00:00:00.000Z,2019,Level C,GE Renewable Energy,LM Wind Power,Cherbourg,EU/SSA,Yes,7,2019-7,Q3-2019
10243,"IP was cleaning glue machine and replacing peroxide container. To connect the machine to compressed air pipes, he removed the cover plate protecting the pipe trench on the floor. He left the area for a few minutes without closing the opening. When coming back on the area, he fell in the opening (approx 50 cm) and hit his left knee.",en,2019-07-04T00:00:00.000Z,Injury,"Contusion, Bruise","IP was cleaning glue machine and replacing peroxide container. To connect the machine to compressed air pipes, he removed the cover plate protecting the pipe trench on the floor. He left the area for a few minutes without closing the opening. When coming back on the area, he fell in the opening (approx 50 cm) and hit his left knee.",France,Romir Orlando Herrera Gonzalez,Still missing specific cover plates for plugging equipment to air network,Defective/worn/maladjusted tool/equipment,,Event Analysis,Last cover plate with specific holes for air connection to be installed.,0,Investigation closed.,2.019071E7,Inadequate Control System Setup or Failure,2019-07-04T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Cherbourg,EU/SSA,Yes,7,2019-7,Q3-2019
10261,"When sawing a cable route, despite a safety goggles, a metal chip in the re. Eye penetrated.",en,2019-01-24T00:00:00.000Z,Injury,Foreign Body,"When sawing a cable route, despite a safety goggles, a metal chip in the re. Eye penetrated.",Germany,[Not Recorded - Privacy],,,,Unknown,"1. check the risk analyse 2. for this work, wearing full closed safety goggles 3. train the employee",0,all actions will be done,2.0190131E7,,2019-01-24T00:00:00.000Z,2019,Level D,GE Renewable Energy,Grid Solutions,"HVS - AGK - Kassel, Germany",EU/SSA,Yes,1,2019-1,Q1-2019
10328,"On January 8 the operator was riding on a LT head in finishing (positioned on a trailer) while wanting to put his foot on the side of the trailer, he skid and fell on the left side and managed to maintain himself with the right arm on the housing. The operator experienced pain in the thigh from the shock as well as in the right shoulder. After several days the operator continued to experience pain in the shoulder and had difficulty moving his arm properly due to the pain. Incident initially declared as near accident, reclassified as a non-stop accident following consultation.",en,2019-01-17T00:00:00.000Z,Injury,"Contusion, Bruise","Le 8 janvier l’opérateur était à cheval sur une tête de LT en finition (positionnée sur une remorque) en voulant poser son pied sur le côté de la remorque, il a dérapé et est tombé sur le côté gauche et a réussi à se maintenir avec le bras droit sur le carter.  L’opérateur a ressenti une douleur à la cuisse lié au choc ainsi qu’à l’épaule droite. Après plusieurs jours l’opérateur a continué a ressentir des douleurs dans l’épaule et avait du mal a bouger correctement son bras du fait de la douleur.  Incident initialement déclaré en presqu’accident, requalifié en accident sans arrêt suite à consultation.",France,Ahmed MACHMACHI,"Les têtes sur les bords de la remorque n’offrent que peu de place pour les pieds quand l’opérateur vient brancher les tuyaux ;
Les têtes sur les côtés donnent directement dans le « vide », pas de zone sécurisée sur le côté pour l’opérateur.
Habitude de travail « à cheval » sur le pôle central qui a amené l’habitude de travailler « à cheval » sur les pôles en bordure de remorque.",Congested or tight space,Used area not intended for walking/working,Ergonomics,Etude de la mise en place d’équipements sur les bords des remorques lors de ces manœuvres. (ex : plateforme à hauteur). Faisable ? Rappel de l’IOP qui demande l’intervention sur les couvercles outillages sans monter sur la remorque (pôles en bordure) Appro d’un marche pied (3 marches) pour accès au pôle central,0,Action intégrée dans le PMSSE 2019,2.0190117E7,Inadequate procedures/work instructions/work standards,2019-01-17T00:00:00.000Z,2019,Level C,GE Renewable Energy,Grid Solutions,"HVS - AHT - Villeurbanne, France",EU/SSA,Yes,1,2019-1,Q1-2019
10329,"On February 01, on the LT line, at the column assembly station, an operator opened columns returning from a customer site. When the last column opened, he heard the sound of gas escaping and felt a slight tingling in the nose. A few minutes after the SF6 detectors rang (detection of 400PPM). An email had been sent the previous evening by the manager of the case, to certify that the 3 columns had been vented and no longer contained SF6. These columns were returning from the customer's home following the explosion of one of the 3 heads. The first of February, on LT line, at column work station, an operator opened columns coming back from client site. When he opened the last one, he heard a released gas noise and felt a nose tingling. A few minutes later SF6 detectors have rung (400PPM detection). An Email had been sent the day before, certifying that the columns where empty. Those columns came back from client site following an explosion on one of the LT heads.",en,2019-02-01T00:00:00.000Z,Injury,"Respiratory irritation (e.g., Asthma)","Le 01 février, sur la ligne LT, au poste montage colonne, un opérateur a ouvert des colonnes revenant d’un site client. Au moment de l’ouverture de la dernière colonne, il a entendu un bruit de gaz s’échappant et a ressenti un léger picotement au nez. Quelques minutes après les détecteurs SF6 ont sonné (détection de 400PPM). Un mail avait été envoyé le soir précédent par le responsable de l’affaire, pour certifier que les 3 colonnes avaient bien été mises à l’atmosphère et ne contenaient plus de SF6.  Ces colonnes revenaient de chez le client suite à l’explosion d’une des 3 têtes.  The first of February, on LT line, at column work station, an operator opened columns coming back from client site. When he opened the last one, he heard a released gas noise and felt a nose tingling. A few minutes later SF6 detectors have rung (400PPM detection).  An Email had been sent the day before, certifying that the columns where empty. Those columns came back from client site following an explosion on one of the LT heads.",France,Rabah NEDJIMI,Wrong information sent to the production line,"Exposure to smoke, dust, fumes, or vapors",,Management of Change,Actions immédiates : Aération de la zone pour évacuer le SF6 ; Envoie de l’opérateur à l’infirmerie pour check up (RAS) ; Déclenchement d’une réunion de crise immédiate pour expliquer la présence de SF6.  Actions préventives et correctives Enquête pour déterminer les causes de l’incident ; Création d’un processus de retour des équipements revenant de chez nos clients  Immediate action: Aeration of the area in order to evacuate; Operator sent to the infirmary (RAS) ; Immediate crises meeting in order to explain the presence of SF6 in the column. Preventive and corrective action : Investigation in order to determine causes of the incident ; Process creation for equipment coming back from client site.,0,Action plan in PMSSE,2.0190205E7,Inadequate communication,2019-02-01T00:00:00.000Z,2019,Level C,GE Renewable Energy,Grid Solutions,"HVS - AHT - Villeurbanne, France",EU/SSA,Yes,2,2019-2,Q1-2019
10330,"Le 21 Février 2019, sur la liste GCB, au poste VG2, l’opérateur travaillait sur la plateforme FKG. Il a reculé et son pied s’est pris dans le rail de la plateforme. Sa cheville s’est tordu et l’opérateur a été emporté par son poids. Malgré le fait qu’il ait réussi à se rattraper (pas de chute), l’opérateur a eu la cheville tordue et après consultation de son médecin a été arrêté.  The 21 of February 2019, on GCB production line, VG2 workshop, operator worked on the FKG platform. He stepped back and almost fell from the platform. He sprained his ankle in the platform rail.  Despite the fact he didn’t fell, the operator had day away from work because of his sprained ankle.",fr,2019-02-21T00:00:00.000Z,Injury,Sprain,"Le 21 Février 2019, sur la liste GCB, au poste VG2, l’opérateur travaillait sur la plateforme FKG. Il a reculé et son pied s’est pris dans le rail de la plateforme. Sa cheville s’est tordu et l’opérateur a été emporté par son poids. Malgré le fait qu’il ait réussi à se rattraper (pas de chute), l’opérateur a eu la cheville tordue et après consultation de son médecin a été arrêté.  The 21 of February 2019, on GCB production line, VG2 workshop, operator worked on the FKG platform. He stepped back and almost fell from the platform. He sprained his ankle in the platform rail.  Despite the fact he didn’t fell, the operator had day away from work because of his sprained ankle.",France,Michel MAZOUNI,Operator placed his foot in the rail,"Housekeeping, unsafe placement, slip/trip hazards",Ascending/descending stairs improperly,Machine Safety / Guarding,In PMSSE 2019,0,Retour au poste le 23 Mai,2.0190523E7,,2019-02-21T00:00:00.000Z,2019,Level C,GE Renewable Energy,Grid Solutions,"HVS - AHT - Villeurbanne, France",EU/SSA,Yes,2,2019-2,Q1-2019
10391,"While building a pallet in the crating department, the employee lost control of the drill he was operating when he hit a knot in the wood. This caused the drill to kick back and hit the employee on the outside of the left knee.",en,2019-01-08T00:00:00.000Z,Injury,"Contusion, Bruise","While building a pallet in the crating department, the employee lost control of the drill he was operating when he hit a knot in the wood. This caused the drill to kick back and hit the employee on the outside of the left knee.",US,Carldel DIXON,"Employee was operating the drill while standing in the line of fire
Employee did not have the side handle installed on the drill cor better control",,Employee in Danger Zone/Line of Fire,Training Management,Employee was instructed on how to operate the drill while standing outside the kick back zone and out of the line of fire. All drills will be equipped with the side handles.,0,All corrective actions were completed.,2.0190116E7,"Inadequate job planning, instruction, supervision",2019-01-08T00:00:00.000Z,2019,Level C,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,1,2019-1,Q1-2019
10392,"On January 19th 2019 @ 9:00 am an employee in our fabrication shop was asked to cut a piece of fiberglass pipe for a project. The employee cut the pipe and was wearing the standard PPE (safety glasses, safety shoes). On Sunday January 20th 2019 the employee woke up to matted eyes and a sensation of a foreign body in both eyes. The employee flushed his eye repeatedly throughout the day and applied over the counter eye drops several times during the day. The employee reported to work on Monday January 21st 2019 and did not report the injury although he was still experiencing discomfort in both eyes. This continued until January 24th 2019 when he reported the injury to the EHS Manager.",en,2019-01-24T00:00:00.000Z,Injury,Foreign Body,"On January 19th 2019 @ 9:00 am an employee in our fabrication shop was asked to cut a piece of fiberglass pipe for a project. The employee cut the pipe and was wearing the standard PPE (safety glasses, safety shoes). On Sunday January 20th 2019 the employee woke up to matted eyes and a sensation of a foreign body in both eyes. The employee flushed his eye repeatedly throughout the day and applied over the counter eye drops several times during the day. The employee reported to work on Monday January 21st 2019 and did not report the injury although he was still experiencing discomfort in both eyes. This continued until January 24th 2019 when he reported the injury to the EHS Manager.",US,Barry Jackson,"Employee was not wearing the proper PPE
No MOC process in place for non-routine tasks","Exposure to smoke, dust, fumes, or vapors",Proper PPE not used for task,Management of Change,An MOC Process was put in place An improved LEV system will be installed PPE expectations have been outlined and documented,0,An MOC Process was put in place An improved LEV system will be installed PPE expectations have been outlined and documented,2.0190129E7,"Inadequate job planning, instruction, supervision",2019-01-24T00:00:00.000Z,2019,Level C,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,1,2019-1,Q1-2019
10393,"On January 25th 2019 @ 5:30 pm employee was dressing a 362 unit by wrapping it with the cotton tape. While the employee was pulling the tape tight, the employee felt a pull in her left shoulder that sent a burning sensation down her left arm into her left hand. On January 29th 2019 the employee asked to be seen by a medical professional.",en,2019-01-25T00:00:00.000Z,Injury,Strain,"On January 25th 2019 @ 5:30 pm employee was dressing a 362 unit by wrapping it with the cotton tape. While the employee was pulling the tape tight, the employee felt a pull in her left shoulder that sent a burning sensation down her left arm into her left hand. On January 29th 2019 the employee asked to be seen by a medical professional.",US,Jehuti Willis,Overexertion/strain while pulling tape tight,Ergonomically inadequate workstation or rotation,,Ergonomics,Employee will reposition the unit on the tearing machine to a vertical position and use the rotation of the motor to create the pull she needs to get the tape tight.,0,Use new method identified above while dressing units. Continue to monitor the effectiveness of the new process and change as needed.,2.0190211E7,,2019-01-25T00:00:00.000Z,2019,Level D,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,1,2019-1,Q1-2019
10394,Employee noticed that the tip was loose on the soldering iron she was using. She attempted to tighten the set screw on the iron while it was still hot. The employee burned the tip of her finger.,en,2019-02-14T00:00:00.000Z,Injury,Burn or Scald (heat),Employee noticed that the tip was loose on the soldering iron she was using. She attempted to tighten the set screw on the iron while it was still hot. The employee burned the tip of her finger.,US,Arvind SAMI,Employee attempted to perform maintenance on a hot piece of equipment.,Defective/worn/maladjusted tool/equipment,Failed to execute LOTO,Lockout Tagout,Employee will call for maintenance to perform any repairs to equipment.,0,Process is in place.,2.019022E7,Inadequate Mechanical Integrity / Maintenance Management,2019-02-14T00:00:00.000Z,2019,Level D,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,2,2019-2,Q1-2019
10395,"Employees were loading horizontal oven 5 with 5 units. The process in place dictates that we manually push the oven trays into the horizontal ovens. 3 employees were used to push the tray into the oven on this day. While the injured employee was pushing the tray into the oven, he lost his footing causing him to sprain his right shoulder.",en,2019-02-15T00:00:00.000Z,Injury,Sprain,"Employees were loading horizontal oven 5 with 5 units. The process in place dictates that we manually push the oven trays into the horizontal ovens. 3 employees were used to push the tray into the oven on this day. While the injured employee was pushing the tray into the oven, he lost his footing causing him to sprain his right shoulder.",US,David A. ROYAL,"Manual force is needed to load horizontal ovens
Horizontal oven floor is slippery when wet or oil is present",Ergonomically inadequate workstation or rotation,Improper force / posture / position,Risk Assessment,Design and install a drive system to eliminate the need to manually load the horizontal ovens Continue the non-slip flooring to include the horizontal oven assembly area,0,All actions were loaded into ATS,2.0190228E7,Inadequate engineering,2019-02-15T00:00:00.000Z,2019,Level C,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,2,2019-2,Q1-2019
10396,"As employee was walking down the steps of vertical oven 2 in the CT/PT Assembly area, the employee slipped off the edge of of the second to last step and hit the back of his left ankle on the first step.",en,2019-02-25T00:00:00.000Z,Injury,"Contusion, Bruise","As employee was walking down the steps of vertical oven 2 in the CT/PT Assembly area, the employee slipped off the edge of of the second to last step and hit the back of his left ankle on the first step.",US,Jimmy ROWELL,A piece of worn anti-slip tape on the stairs allowed the employee to slip and hit the back of his left ankle.,"Housekeeping, unsafe placement, slip/trip hazards",,Housekeeping & Inspection Programs,Repair the step by placing new anti-slip tape on the step and any other step that needs it.,0,The steps were repaired,2.0190225E7,Inadequate inspection/auditing,2019-02-25T00:00:00.000Z,2019,Level D,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,2,2019-2,Q1-2019
10397,"Employee was using compressed air to blow off debris from the top of CVT transformers. While the employee was removing his PPE, he felt something go into his left eye.",en,2019-02-27T00:00:00.000Z,Injury,Foreign Body,"Employee was using compressed air to blow off debris from the top of CVT transformers. While the employee was removing his PPE, he felt something go into his left eye.",US,Barry Jackson,Employee removed PPE too early which resulted in a foreign body entering the left eye,"Exposure to smoke, dust, fumes, or vapors",,Risk Assessment,1) Add a vacuum to the work station that can remove the larger particles of debris. 2) Force employees to leave PPE in place for up to 10 minutes after the task,0,"PPE requirements are in place, an ATS item has been opened for the vacuum installation.",2.0190228E7,,2019-02-27T00:00:00.000Z,2019,Level D,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,2,2019-2,Q1-2019
10398,Employee was tearing a PT 170 on tearing machine #4 when the blade arm vibrated loose and hit the employee on the left hand.,en,2019-03-06T00:00:00.000Z,Injury,"Contusion, Bruise",Employee was tearing a PT 170 on tearing machine #4 when the blade arm vibrated loose and hit the employee on the left hand.,US,Jehuti Willis,A retaining ball at the end of the blade bar assembly vibrated loose allowing the blade bar to fall,Defective/worn/maladjusted tool/equipment,,Housekeeping & Inspection Programs,Share this incident with all shifts to highlight the potential for injury  Implement a daily inspection that will address potential hazards  Use “lock tight” on retaining balls to prevent loosening,0,All action items entered into Gensuite ATS,2.0190311E7,Inadequate inspection/auditing,2019-03-06T00:00:00.000Z,2019,Level C,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,3,2019-3,Q1-2019
10399,Employee slipped in oil in the CT/PT tear down room.,en,2019-03-14T00:00:00.000Z,Injury,Strain,Employee slipped in oil in the CT/PT tear down room.,US,Jehuti Willis,Poor housekeeping in the room,"Housekeeping, unsafe placement, slip/trip hazards",,Housekeeping & Inspection Programs,"Conduct a clean up of the room and remove all trash, waste, and unused equipment to create a safe working environment.",0,Action item loaded into ATS,2.0190314E7,"Inadequate job planning, instruction, supervision",2019-03-14T00:00:00.000Z,2019,Level D,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,3,2019-3,Q1-2019
10400,Employee slipped and fell in oil in the CT/PT tear down room.,en,2019-03-14T00:00:00.000Z,Injury,Strain,Employee slipped and fell in oil in the CT/PT tear down room.,US,Jehuti Willis,Poor housekeeping in the room,"Housekeeping, unsafe placement, slip/trip hazards",,Housekeeping & Inspection Programs,"Install exit sign in the room Conduct a clean up of the room and remove all trash, waste, and unused equipment to create a safe working environment.",0,All actions added to ATS,2.0190314E7,"Inadequate job planning, instruction, supervision",2019-03-14T00:00:00.000Z,2019,Level D,GE Renewable Energy,Grid Solutions,"HVS - RMW - Waynesboro, GA, USA",US,Yes,3,2019-3,Q1-2019
